wop_rates_id;age_y_80;PROJ_YR;qx_wop_rt
1;18;1;0,08
1;18;2;0,08
1;18;3;0,08
1;18;4;0,08
1;18;5;0,08
1;18;6;0,08
1;18;7;0,08
1;18;8;0,08
1;18;9;0,08
1;18;10;0,08
1;18;11;0,08
1;18;12;0,08
1;18;13;0,08
1;18;14;0,08
1;18;15;0,08
1;18;16;0,08
1;18;17;0,08
1;18;18;0,08
1;18;19;0,08
1;18;20;0,08
1;18;21;0,08
1;18;22;0,08
1;18;23;0,08
1;18;24;0,08
1;18;25;0,08
1;18;26;0,08
1;18;27;0,08
1;18;28;0,08
1;18;29;0,08
1;18;30;0,08
1;18;31;0,08
1;18;32;0,08
1;18;33;0,08
1;18;34;0,08
1;18;35;0,08
1;18;36;0,08
1;18;37;0,08
1;18;38;0,08
1;18;39;0,08
1;18;40;0,08
1;18;41;0,08
1;18;42;0,08
1;18;43;0,08
1;18;44;0,08
1;18;45;0,08
1;18;46;0,08
1;18;47;0,08
1;18;48;0,08
1;18;49;0,08
1;18;50;0,08
1;18;51;0,08
1;18;52;0,08
1;18;53;0,08
1;18;54;0,08
1;18;55;0,08
1;19;1;0,08
1;19;2;0,08
1;19;3;0,08
1;19;4;0,08
1;19;5;0,08
1;19;6;0,08
1;19;7;0,08
1;19;8;0,08
1;19;9;0,08
1;19;10;0,08
1;19;11;0,08
1;19;12;0,08
1;19;13;0,08
1;19;14;0,08
1;19;15;0,08
1;19;16;0,08
1;19;17;0,08
1;19;18;0,08
1;19;19;0,08
1;19;20;0,08
1;19;21;0,08
1;19;22;0,08
1;19;23;0,08
1;19;24;0,08
1;19;25;0,08
1;19;26;0,08
1;19;27;0,08
1;19;28;0,08
1;19;29;0,08
1;19;30;0,08
1;19;31;0,08
1;19;32;0,08
1;19;33;0,08
1;19;34;0,08
1;19;35;0,08
1;19;36;0,08
1;19;37;0,08
1;19;38;0,08
1;19;39;0,08
1;19;40;0,08
1;19;41;0,08
1;19;42;0,08
1;19;43;0,08
1;19;44;0,08
1;19;45;0,08
1;19;46;0,08
1;19;47;0,08
1;19;48;0,08
1;19;49;0,08
1;19;50;0,08
1;19;51;0,08
1;19;52;0,08
1;19;53;0,08
1;19;54;0,08
1;19;55;0,08
1;20;1;0,08
1;20;2;0,08
1;20;3;0,08
1;20;4;0,08
1;20;5;0,08
1;20;6;0,08
1;20;7;0,08
1;20;8;0,08
1;20;9;0,08
1;20;10;0,08
1;20;11;0,08
1;20;12;0,08
1;20;13;0,08
1;20;14;0,08
1;20;15;0,08
1;20;16;0,08
1;20;17;0,08
1;20;18;0,08
1;20;19;0,08
1;20;20;0,08
1;20;21;0,08
1;20;22;0,08
1;20;23;0,08
1;20;24;0,08
1;20;25;0,08
1;20;26;0,08
1;20;27;0,08
1;20;28;0,08
1;20;29;0,08
1;20;30;0,08
1;20;31;0,08
1;20;32;0,08
1;20;33;0,08
1;20;34;0,08
